id;Nombre;Grupo;Tipo;Nombre Variables;Lenguaje;Tecnologia;Valor Nuevo/min;Publicar;% con copilot;copilot;% TME ;"TME 
sobre el valor de la base "
67;TouchableOpacity;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
68;TouchableHighlight;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
69;TouchableWithoutFeedback;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
70;Creación Controller;Base-Back;Elemento base;menor 10 parametros;Java;String_Boot;120 min;1;30%;84 min;30%;156 min
71;Creación Controller;Base-Back;Elemento base;menor 30 parametros;Java;String_Boot;180 min;1;30%;126 min;30%;234 min
72;Modificación Controller;Base-Back;Elemento base;menor 10 parametros;Java;String_Boot;01 min;1;30%;00 min;30%;01 min
73;Modificación Controller;Base-Back;Elemento base;menor 30 parametros;Java;String_Boot;60 min;1;30%;42 min;30%;78 min
74;Tabla BD;Base-Back;Elemento base;Complejidad Basica;Java;String_Boot;180 min;1;30%;126 min;30%;234 min
75;ACP-Front;Base-Doc;Doc;Creacion;Doc;Word;120 min;1;0%;120 min;30%;156 min
76;ACP-Back;Base-Doc;Doc;Creacion;Doc;Word;140 min;1;0%;140 min;30%;182 min
77;DOC-MS;Base-Doc;Doc;Creacion;Doc;Word;140 min;1;0%;140 min;30%;182 min
78;DOC-BD;Base-Doc;Doc;Creacion;Doc;Word;140 min;1;0%;140 min;30%;182 min
79;Proveedor-Tema; Base-provider;Proveedor;Temas;Html;React;110 min;1;30%;77 min;30%;143 min
80;Proveedor-Api; Base-provider;Proveedor;Temas;Html;React;90 min;1;30%;63 min;30%;117 min
81;TextView;Base-Front;Elemento base;xml;Java;Android;12 min;1;0%;12 min;30%;16 min
83;Button;Base-Front;Elemento base;HandleClick;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
83;Button;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
83;Button;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
84;CheckBox;Base-Front;Elemento base;HandleClick;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
84;CheckBox;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
84;CheckBox;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
85;Input-t;Base-Front;Elemento base;HandleChange;JavaScript;React_Native;10 min;1;30%;07 min;30%;13 min
85;Input-t;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
85;Input-t;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
86;RadioButton;Base-Front;Elemento base;HandleClick;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
86;RadioButton;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
86;RadioButton;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
87;ToggleSwitch;Base-Front;Elemento base;HandleToggle;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
87;ToggleSwitch;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
87;ToggleSwitch;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
88;Dropdown;Base-Front;Elemento base;HandleSelect;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
88;Dropdown;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
88;Dropdown;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
89;Pagination;Base-Front;Elemento base;HandlePageChange;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
89;Pagination;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
89;Pagination;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
90;Pill;Base-Front;Elemento base;HandleClick;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
90;Pill;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
90;Pill;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
91;List;Base-Front;Elemento base;RenderItems;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
91;List;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
91;List;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
92;ListItem;Base-Front;Elemento base;HandleClick;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
92;ListItem;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
92;ListItem;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
93;Navbar;Base-Front;Elemento base;HandleNav;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
93;Navbar;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
93;Navbar;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
94;Footerbar;Base-Front;Elemento base;HandleFooter;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
94;Footerbar;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
94;Footerbar;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
95;NavItem;Base-Front;Elemento base;HandleClick;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
94;NavItem;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
95;NavItem;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
96;Headerbar;Base-Front;Elemento base;HandleHeader;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
96;Headerbar;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
96;Headerbar;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
97;Cards-login;Base-Front;Elemento base;HandleCardAction;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
97;Cards-login;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
97;Cards-login;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
98;Grids;Base-Front;Elemento base;RenderGridItems;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
98;Grids;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
98;Grids;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
98;Avatar;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;20 min;1;30%;14 min;30%;26 min
98;Overlay;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;20 min;1;30%;15 min;30%;26 min
99;Documento de prueas;Base-Doc;Doc;pruea de 5 requerimintos ;Doc;Word;55 min;1;0%;55 min;30%;72 min
99;Documento de prueas;Base-Doc;Doc;pruea de 2 requerimintos ;Doc;Word;10 min;1;0%;10 min;30%;13 min
100;Estado Global ;Base-Front;Elemento base;localStorage;JavaScript;React;20 min;1;30%;14 min;30%;26 min
101;Pruebas-excel-estado-global;Base-Doc;Doc;3 pruebas funcionales estado;Doc;Excel;20 min;1;0%;20 min;30%;26 min
103;Button-native;Base-Front;Elemento base;TouchableHighlight;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
104;select;Base-Front;Elemento base;Estilos;JavaScript;React;20 min;1;30%;14 min;30%;26 min
104;select;Base-Front;Elemento base;Evento click;JavaScript;React;20 min;1;30%;14 min;30%;26 min
105;axios;Base-Front;Proveedor;Instalacion ;JavaScript;React;01 min;1;10%;01 min;30%;01 min
106;axios;Base-Front;Elemento base;Configuracion;JavaScript;React;10 min;1;30%;07 min;30%;13 min
107;axios;Base-Front;Elemento base;Interceptor de request;JavaScript;React;05 min;1;30%;04 min;30%;07 min
108;axios;Base-Front;Elemento base;Interceptor de response;JavaScript;React;05 min;1;30%;04 min;30%;07 min
109;Dropdown con filtro;Base-Front;Contenedor;Maquetacion;Html;React;15 min;1;20%;12 min;30%;20 min
110;Dropdown con filtro;Base-Front;Elemento base;Estilos ;CSS;React;08 min;1;10%;07 min;30%;10 min
111;Dropdown con filtro;Base-Front;Elemento base;Tipado de datos;JavaScript;React;03 min;1;5%;03 min;30%;04 min
112;Dropdown con filtro;Base-Front;Elemento base;Logica de filtro;JavaScript;React;05 min;1;20%;04 min;30%;07 min
113;Modal;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
105;Modal;Base-Front;Elemento base;Estilos ;CSS;React;08 min;1;10%;07 min;30%;10 min
105;Modal;Base-Front;Elemento base;Tipado de datos;JavaScript;React;05 min;1;5%;05 min;30%;07 min
105;Card;Base-Front;Contenedor;Maquetacion;Html;React;20 min;1;20%;16 min;30%;26 min
105;Card;Base-Front;Elemento base;Estilos ;CSS;React;12 min;1;20%;10 min;30%;16 min
105;Card;Base-Front;Elemento base;Tipado de datos;JavaScript;React;05 min;1;15%;04 min;30%;07 min
105;Card;Base-Front;Elemento base;Logica de presentacion;JavaScript;React;15 min;1;20%;12 min;30%;20 min
105;Acordion;Base-Front;Elemento base;Maquetacion;Html;React;15 min;1;15%;#REF!;30%;20 min
105;Acordion;Base-Front;Elemento base;Estilos ;CSS;React;10 min;1;20%;12 min;30%;13 min
105;Acordion;Base-Front;Elemento base;Tipado de datos;JavaScript;React;08 min;1;20%;08 min;30%;10 min
105;Acordion;Base-Front;Elemento base;Logica de presentacion;JavaScript;React;12 min;1;25%;06 min;30%;16 min
105;ToolTip;Base-Front;Elemento base;Maquetacion;Html;React;10 min;1;20%;10 min;30%;13 min
105;ToolTip;Base-Front;Elemento base;Estilos ;CSS;React;08 min;1;20%;06 min;30%;10 min
105;ToolTip;Base-Front;Elemento base;Tipado de datos;JavaScript;React;04 min;1;20%;03 min;30%;05 min
105;ToolTip;Base-Front;Elemento base;Logica de presentacion;JavaScript;React;06 min;1;20%;05 min;30%;08 min
105;Carousel;Base-Front;Contenedor;Maquetacion;Html;React;20 min;1;20%;16 min;30%;26 min
105;Carousel;Base-Front;Elemento base;Estilos ;CSS;React;15 min;1;20%;12 min;30%;20 min
105;Carousel;Base-Front;Elemento base;Tipado de datos;JavaScript;React;08 min;1;15%;07 min;30%;10 min
105;Carousel;Base-Front;Elemento base;Logica de presentacion;JavaScript;React;20 min;1;10%;18 min;30%;26 min
105;Notificacion;Base-Front;Contenedor;Maquetacion;Html;React;12 min;1;15%;10 min;30%;16 min
105;Notificacion;Base-Front;Elemento base;Estilos ;CSS;React;08 min;1;15%;07 min;30%;10 min
105;Notificacion;Base-Front;Elemento base;Tipado de datos;JavaScript;React;05 min;1;20%;04 min;30%;07 min
105;Notificacion;Base-Front;Elemento base;Logica de presentacion;JavaScript;React;10 min;1;25%;08 min;30%;13 min
105;BreadCrumb;Base-Front;Elemento base;Maquetacion;Html;React;10 min;1;20%;08 min;30%;13 min
105;BreadCrumb;Base-Front;Elemento base;Estilos ;CSS;React;04 min;1;20%;03 min;30%;05 min
105;BreadCrumb;Base-Front;Elemento base;Tipado de datos;JavaScript;React;07 min;1;15%;06 min;30%;09 min
105;BreadCrumb;Base-Front;Elemento base;Logica de presentacion;JavaScript;React;08 min;1;10%;07 min;30%;10 min
105;Tabs;Base-Front;Elemento base;Maquetacion;Html;React;15 min;1;5%;14 min;30%;20 min
105;Tabs;Base-Front;Elemento base;Estilos ;CSS;React;12 min;1;10%;11 min;30%;16 min
105;Tabs;Base-Front;Elemento base;Tipado de datos;JavaScript;React;06 min;1;10%;05 min;30%;08 min
105;Tabs;Base-Front;Elemento base;Logica de presentacion;JavaScript;React;12 min;1;10%;11 min;30%;16 min
105;Pagination;Base-Front;Elemento base;Maquetacion;Html;React;12 min;1;20%;10 min;30%;16 min
105;Pagination;Base-Front;Elemento base;Estilos ;CSS;React;08 min;1;20%;06 min;30%;10 min
105;Pagination;Base-Front;Elemento base;Tipado de datos;JavaScript;React;05 min;1;20%;04 min;30%;07 min
105;Pagination;Base-Front;Elemento base;Logica de presentacion;JavaScript;React;10 min;1;20%;08 min;30%;13 min
12;Input text;Base-Front;Elemento base;Estilos;Swift;iOS;50 min;1;40%;30 min;30%;65 min
12;Input text;Base-Front;Elemento base;handle;Swift;iOS;20 min;1;30%;14 min;30%;26 min
115;ViewController;Base-Front;Elemento base;Maquetación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
115;ViewController;Base-Front;Elemento base;Logica de presentación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
115;ViewController;Base-Front;Elemento base;Referencia a clase;Swift;iOS;10 min;1;0%;10 min;30%;13 min
116;Label;Base-Front;Elemento base;Maquetación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
116;Label;Base-Front;Elemento base;Estilos;Swift;iOS;10 min;1;0%;10 min;30%;13 min
116;Label;Base-Front;Elemento base;Referencia a clase;Swift;iOS;05 min;1;0%;05 min;30%;07 min
116;Label;Base-Front;Elemento base;Logica de presentación;Swift;iOS;05 min;1;0%;05 min;30%;07 min
117;Botón;Base-Front;Elemento base;Maquetación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
117;Botón;Base-Front;Elemento base;Estilos;Swift;iOS;10 min;1;0%;10 min;30%;13 min
117;Botón;Base-Front;Elemento base;Referencia a clase;Swift;iOS;05 min;1;0%;05 min;30%;07 min
117;Botón;Base-Front;Elemento base;Logica de presentación;Swift;iOS;05 min;1;0%;05 min;30%;07 min
117;Botón;Base-Front;Elemento base;Acción del elemento;Swift;iOS;10 min;1;0%;10 min;30%;13 min
118;UIScroll;Base-Front;Elemento base;Maquetación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
118;UIScroll;Base-Front;Elemento base;Referencia a clase;Swift;iOS;10 min;1;0%;10 min;30%;13 min
119;UITable;Base-Front;Elemento base;Maquetación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
119;UITable;Base-Front;Elemento base;Estilos;Swift;iOS;05 min;1;0%;05 min;30%;07 min
119;UITable;Base-Front;Elemento base;Referencia a clase;Swift;iOS;05 min;1;0%;05 min;30%;07 min
119;UITable;Base-Front;Elemento base;Logica de presentación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
119;UITable;Base-Front;Elemento base;Delegado;Swift;iOS;20 min;1;0%;20 min;30%;26 min
120;UIView;Base-Front;Elemento base;Maquetación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
120;UIView;Base-Front;Elemento base;Estilos;Swift;iOS;05 min;1;0%;05 min;30%;07 min
120;UIView;Base-Front;Elemento base;Referencia a clase;Swift;iOS;05 min;1;0%;05 min;30%;07 min
121;Stack View;Base-Front;Elemento base;Maquetación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
121;Stack View;Base-Front;Elemento base;Estilos;Swift;iOS;05 min;1;0%;05 min;30%;07 min
121;Stack View;Base-Front;Elemento base;Referencia a clase;Swift;iOS;05 min;1;0%;05 min;30%;07 min
122;UIImage;Base-Front;Elemento base;Maquetación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
122;UIImage;Base-Front;Elemento base;Estilos;Swift;iOS;10 min;1;0%;10 min;30%;13 min
122;UIImage;Base-Front;Elemento base;Referencia a clase;Swift;iOS;05 min;1;0%;05 min;30%;07 min
122;UIImage;Base-Front;Elemento base;Lógica de carga;Swift;iOS;05 min;1;0%;05 min;30%;07 min
123;Loading;Base-Front;Elemento base;Maquetación;Swift;iOS;03 min;1;0%;03 min;30%;04 min
123;Loading;Base-Front;Elemento base;Estilos;Swift;iOS;02 min;1;0%;02 min;30%;03 min
123;Loading;Base-Front;Elemento base;Referencia a clase;Swift;iOS;05 min;1;0%;05 min;30%;07 min
123;Loading;Base-Front;Elemento base;Lógica de presentación;Swift;iOS;05 min;1;0%;05 min;30%;07 min
124;Collection View;Base-Front;Elemento base;Maquetación;Swift;iOS;20 min;1;0%;20 min;30%;26 min
124;Collection View;Base-Front;Elemento base;Estilos;Swift;iOS;05 min;1;0%;05 min;30%;07 min
124;Collection View;Base-Front;Elemento base;Referencia a clase;Swift;iOS;05 min;1;0%;05 min;30%;07 min
124;Collection View;Base-Front;Elemento base;Logica de presentación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
124;Collection View;Base-Front;Elemento base;Delegado;Swift;iOS;20 min;1;0%;20 min;30%;26 min
125;Celda de tabla;Base-Front;Elemento base;Maquetación;Swift;iOS;15 min;1;0%;15 min;30%;20 min
125;Celda de tabla;Base-Front;Elemento base;Estilos;Swift;iOS;05 min;1;0%;05 min;30%;07 min
125;Celda de tabla;Base-Front;Elemento base;Referencia a clase;Swift;iOS;05 min;1;0%;05 min;30%;07 min
125;Celda de tabla;Base-Front;Elemento base;Logica de presentación;Swift;iOS;10 min;1;0%;10 min;30%;13 min
126;Global Styles;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;20%;24 min;30%;39 min
127;Webview;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;20 min;1;30%;14 min;30%;26 min
127;Webview;Base-Front;Elemento base;Estilos;JavaScript;React_Native;20 min;1;20%;16 min;30%;26 min
127;Webview;Base-Front;Elemento base;Control de eventos;JavaScript;React_Native;30 min;1;20%;24 min;30%;39 min
129;Input-Number;Base-Front;Elemento base;HandleChange;JavaScript;React_Native;10 min;1;30%;07 min;30%;13 min
129;Input-Number;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;20 min;1;20%;16 min;30%;26 min
129;Input-Number;Base-Front;Elemento base;Estilos;JavaScript;React_Native;20 min;1;20%;16 min;30%;26 min
130;Input-Password;Base-Front;Elemento base;HandleChange;JavaScript;React_Native;10 min;1;30%;07 min;30%;13 min
130;Input-Password;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;20%;24 min;30%;39 min
130;Input-Password;Base-Front;Elemento base;Estilos;JavaScript;React_Native;40 min;1;20%;32 min;30%;52 min
131;DatePicker;Base-Front;Elemento base;Maquetación;JavaScript;React_Native;30 min;1;20%;24 min;30%;39 min
131;DatePicker;Base-Front;Elemento base;Estilos;JavaScript;React_Native;30 min;1;30%;21 min;30%;39 min
